,종목명,현재가,전일대비,등락률
0,한국정밀기계,2925,상한가 675,+30.00%
1,아이윈플러스,963,상한가 222,+29.96%
2,인벤티지랩,17350,"상한가 4,000",+29.96%
3,GH신소재,3450,상한가 795,+29.94%
4,뱅크웨어글로벌,9420,"상한가 2,170",+29.93%
5,CJ씨푸드1우,23650,"상한가 5,420",+29.73%
6,효성오앤비,9370,"상승 1,890",+25.27%
7,대원전선우,4745,상승 925,+24.21%
8,자람테크놀로지,48550,"상승 8,550",+21.38%
9,SG글로벌,3960,상승 695,+21.29%
10,코오롱모빌리티그룹,2980,상승 455,+18.02%
11,에이직랜드,31300,"상승 4,300",+15.93%
12,코오롱모빌리티그룹우,4560,상승 615,+15.59%
13,나이벡,17920,"상승 2,260",+14.43%
14,엔브이에이치코리아,2800,상승 345,+14.05%
