,Unnamed: 0,Unnamed: 2,Unnamed: 3,증권사 개설 계좌
0,유진투자증권,2020/06/17,50만원,1650.0
1,SK증권,2015/06/01,50만원,3500.0
2,유안타증권,2021/01/04,50만원,2250.0
5,미래에셋증권,2017/01/02,50만원,1400.0
6,상상인증권,2020/04/23,50만원,1400.0
7,대신증권,2021/01/01,50만원,2522.0
8,교보증권,2021/09/01,50만원,2480.0
9,NH투자증권,2020/06/10,50만원,3057.0
10,한양증권,2012/10/12,50만원,2736.0
11,신영증권,2021/08/23,50만원,992.0
12,삼성증권,2021/10/01,50만원,4472.0
13,메리츠증권,2021/01/01,50만원,3780.0
14,KB증권,2021/11/25,50만원,2773.0
15,한화투자증권,2016/05/30,50만원,3230.0
16,현대차증권,2011/11/07,50만원,3282.0
17,DB금융투자,2015/01/02,50만원,2492.0
18,아이엠증권,2012/05/02,50만원,3372.0
19,부국증권,2011/11/18,50만원,1227.0
20,한국투자증권,2021/11/25,50만원,5272.0
21,하나증권,2014/09/01,50만원,4960.0
23,키움증권,2020/12/31,50만원,140.0
24,엘에스증권,2012/12/03,50만원,150.0
28,IBK투자증권,2013/02/04,50만원,1000.0
29,케이프투자증권,2015/04/20,50만원,2950.0
31,다올투자증권,2018/03/12,50만원,140.0
35,비엔케이투자증권,2020/08/24,50만원,2246.0
36,유진투자증권,2020/06/17,10만원,330.0
37,SK증권,2015/06/01,10만원,2300.0
38,유안타증권,2021/01/04,10만원,450.0
41,미래에셋증권,2017/01/02,10만원,280.0
42,상상인증권,2020/04/23,10만원,280.0
43,대신증권,2021/01/01,10만원,694.0
44,교보증권,2021/09/01,10만원,1280.0
45,NH투자증권,2020/06/10,10만원,1196.0
46,한양증권,2012/10/12,10만원,1747.0
47,신영증권,2021/08/23,10만원,198.0
48,삼성증권,2021/10/01,10만원,994.0
49,메리츠증권,2021/01/01,10만원,2196.0
50,KB증권,2021/11/25,10만원,1354.0
51,한화투자증권,2016/05/30,10만원,640.0
52,현대차증권,2011/11/07,10만원,1856.0
53,DB금융투자,2015/01/02,10만원,1298.0
54,아이엠증권,2012/05/02,10만원,994.0
55,부국증권,2011/11/18,10만원,245.0
56,한국투자증권,2021/11/25,10만원,994.0
57,하나증권,2014/09/01,10만원,580.0
59,키움증권,2020/12/31,10만원,20.0
60,엘에스증권,2012/12/03,10만원,30.0
64,IBK투자증권,2013/02/04,10만원,200.0
65,케이프투자증권,2015/04/20,10만원,590.0
67,다올투자증권,2018/03/12,10만원,20.0
71,비엔케이투자증권,2020/08/24,10만원,1249.0
72,유진투자증권,2020/06/17,100만원,4000.0
73,SK증권,2015/06/01,100만원,5000.0
74,유안타증권,2021/01/04,100만원,3500.0
77,미래에셋증권,2017/01/02,100만원,2800.0
78,상상인증권,2020/04/23,100만원,2800.0
79,대신증권,2021/01/01,100만원,4346.0
80,교보증권,2021/09/01,100만원,3980.0
81,NH투자증권,2020/06/10,100만원,4914.0
82,한양증권,2021/09/06,100만원,3173.0
83,신영증권,2021/08/23,100만원,1984.0
84,삼성증권,2021/10/01,100만원,5944.0
85,메리츠증권,2021/01/01,100만원,5762.0
86,KB증권,2021/11/25,100만원,4546.0
87,한화투자증권,2016/05/30,100만원,3970.0
89,DB금융투자,2015/01/02,100만원,3984.0
90,아이엠증권,2012/05/02,100만원,4744.0
91,부국증권,2013/02/01,100만원,2000.0
92,한국투자증권,2021/11/25,100만원,6542.0
93,하나증권,2014/09/01,100만원,5940.0
95,키움증권,2020/12/31,100만원,300.0
96,엘에스증권,2012/12/03,100만원,300.0
100,IBK투자증권,2013/02/04,100만원,2000.0
101,케이프투자증권,2015/04/20,100만원,3900.0
103,다올투자증권,2018/03/12,100만원,300.0
107,비엔케이투자증권,2020/08/24,100만원,3492.0
108,유진투자증권,2020/06/17,500만원,15000.0
109,SK증권,2015/06/01,500만원,15000.0
110,유안타증권,2021/01/04,500만원,8250.0
113,미래에셋증권,2017/01/02,500만원,14000.0
114,상상인증권,2020/04/23,500만원,14000.0
115,대신증권,2021/01/01,500만원,18630.0
116,교보증권,2021/09/01,500만원,14420.0
117,NH투자증권,2020/06/10,500만원,18766.0
118,한양증권,2012/10/12,500만원,11865.0
119,신영증권,2021/08/23,500만원,9916.0
120,삼성증권,2021/10/01,500만원,17720.0
121,메리츠증권,2021/01/01,500만원,15812.0
122,KB증권,2021/11/25,500만원,18725.0
123,한화투자증권,2016/05/30,500만원,15870.0
124,현대차증권,2011/11/07,500만원,19310.0
125,DB금융투자,2015/01/02,500만원,14916.0
126,아이엠증권,2012/05/02,500만원,9720.0
127,부국증권,2011/11/18,500만원,12269.0
128,한국투자증권,2021/11/25,500만원,15714.0
129,하나증권,2014/09/01,500만원,13720.0
131,키움증권,2020/12/31,500만원,1500.0
132,엘에스증권,2012/12/03,500만원,1500.0
136,IBK투자증권,2013/02/04,500만원,10000.0
137,케이프투자증권,2015/04/20,500만원,13500.0
139,다올투자증권,2018/03/12,500만원,1500.0
143,비엔케이투자증권,2020/08/24,500만원,12458.0
144,유진투자증권,2020/06/17,1000만원,28000.0
145,SK증권,2015/06/01,1000만원,28000.0
146,유안타증권,2021/01/04,1000만원,16500.0
149,미래에셋증권,2017/01/02,1000만원,28000.0
150,상상인증권,2020/04/23,1000만원,28000.0
151,대신증권,2021/01/01,1000만원,35460.0
152,교보증권,2021/09/01,1000만원,27840.0
153,NH투자증권,2020/06/10,1000만원,34632.0
154,한양증권,2012/10/12,1000만원,19230.0
155,신영증권,2021/08/23,1000만원,19832.0
156,삼성증권,2021/10/01,1000만원,31442.0
157,메리츠증권,2021/01/01,1000만원,27626.0
158,KB증권,2021/11/25,1000만원,34460.0
159,한화투자증권,2016/05/30,1000만원,30250.0
161,DB금융투자,2015/01/02,1000만원,29832.0
162,아이엠증권,2012/05/02,1000만원,19440.0
163,부국증권,2011/11/18,1000만원,24538.0
164,한국투자증권,2021/11/25,1000만원,28430.0
165,하나증권,2014/09/01,1000만원,19440.0
167,키움증권,2020/12/31,1000만원,3000.0
168,엘에스증권,2012/12/03,1000만원,3000.0
172,IBK투자증권,2013/02/04,1000만원,20000.0
173,케이프투자증권,2015/04/20,1000만원,23500.0
175,다올투자증권,2018/03/12,1000만원,3000.0
179,비엔케이투자증권,2020/08/24,1000만원,24916.0
203,키움증권,2020/12/31,1억원,30000.0
204,엘에스증권,2012/12/03,1억원,30000.0
211,다올투자증권,2018/03/12,1억원,30000.0
